"legid";"accident_count";"geom_kml"
12901;1;"<LineString><coordinates>-105.110208314077056,40.188562304018539 -105.108091071365621,40.18856715765741 -105.107581003540972,40.188567486087017 -105.106960870559249,40.188567782150216 -105.106395317960718,40.188568946120718 -105.10578413303115,40.188569265756271 -105.105197110165875,40.188569322385412 -105.10465571104308,40.188571932705102 -105.102293326025176,40.188568292034411 -105.100476782466899,40.188567519921172 -105.099557757490075,40.188569830423006 -105.099266930708353,40.188569852755556 -105.098599346059032,40.1885740561627 -105.097630295713913,40.188561766162749</coordinates></LineString>"
5195;1;"<LineString><coordinates>-104.904602319492,39.758404633029933 -104.905762827159151,39.758405482618713</coordinates></LineString>"
5282;1;"<LineString><coordinates>-105.137600315083887,39.738239014615658 -105.136475398357462,39.738222983083567 -105.134116462288418,39.738163631132885 -105.132961302285466,39.738152855262712 -105.132830867145472,39.738204489054112 -105.131773301357782,39.738199390214817 -105.128509983240264,39.73817836639838</coordinates></LineString>"
5512;1;"<LineString><coordinates>-104.976954621504888,39.749473148165102 -104.978129980025457,39.749483721232401</coordinates></LineString>"
5250;1;"<LineString><coordinates>-105.193850756447588,39.732674426995025 -105.19394321482649,39.737722105005361</coordinates></LineString>"
11502;1;"<LineString><coordinates>-105.098227934624902,39.987135917479002 -105.098114395426705,39.987138249462774 -105.095807574236673,39.987088690070976 -105.095575560293383,39.987046208804195 -105.086053348401293,39.986977485589719 -105.081129813990117,39.986918438790816 -105.076616602676495,39.986860658401412</coordinates></LineString>"
8524;1;"<LineString><coordinates>-105.184039384881032,39.827101781228855 -105.184021130286524,39.825633339219628 -105.183982043227687,39.823636651893665 -105.183982043194604,39.823636638080032</coordinates></LineString>"
6461;1;"<LineString><coordinates>-104.966666033943937,39.72008973401261 -104.972675285910171,39.720080781882395 -104.972899553622099,39.720080441348792 -104.973183904157437,39.720134963520628</coordinates></LineString>"
6392;1;"<LineString><coordinates>-105.082328229950846,39.718462193493082 -105.082854988237429,39.71847031420446 -105.090882417189178,39.718448999423586</coordinates></LineString>"
5555;1;"<LineString><coordinates>-104.940697818546212,39.751055175914978 -104.940621034109228,39.751036810987607 -104.9316983183773,39.751050451381857</coordinates></LineString>"
5136;1;"<LineString><coordinates>-104.847346196127106,39.722539044428459 -104.847826793436028,39.722583667737688 -104.848302641043858,39.722668096495291 -104.848715947165545,39.722833967942904 -104.849181642982813,39.723061472010833 -104.849374427517105,39.723212488976898 -104.849610962911584,39.723404643360169 -104.849785844205698,39.723582824549553 -104.849943009592039,39.7237677239984 -104.850073634474754,39.723959292124974 -104.850186228697353,39.724191656345816 -104.850289745432519,39.724451234199819 -104.850340620408062,39.724676441832351 -104.850365015994086,39.724901503207676 -104.850375599696733,39.725664946893467 -104.850377331384465,39.725829235974935</coordinates></LineString>"
9542;1;"<LineString><coordinates>-105.025116804501508,39.870821907641066 -105.015551133348509,39.870813795175103</coordinates></LineString>"
4271;1;"<LineString><coordinates>-104.9317058466372,39.653050834304224 -104.931085880526865,39.652583649674256 -104.929435640850457,39.651264107767823 -104.928606170604709,39.65065504489624</coordinates></LineString>"
11535;1;"<LineString><coordinates>-105.248960059566713,39.988313206719518 -105.248863566588767,39.988581126111235 -105.248731925273987,39.988877156805941 -105.248577624633228,39.989162705025826 -105.248400795556591,39.989440380830018 -105.248199173203602,39.989714488540116 -105.247971884116424,39.989990158539705 -105.24781008593429,39.99016862757464 -105.247484818072479,39.990497866916449</coordinates></LineString>"
12001;1;"<LineString><coordinates>-105.263207805134357,40.032805154271266 -105.263208637617424,40.033155633556355</coordinates></LineString>"
11520;1;"<LineString><coordinates>-105.239843509050601,39.98986679628468 -105.238946114872149,39.98934866982129 -105.238087965803956,39.98883748851123 -105.236766845069923,39.988075430455723 -105.236284596528094,39.987786137175391 -105.235917501203915,39.987602685601829 -105.235645381743524,39.987491046658256 -105.235297567788578,39.987379533739336 -105.235035387559037,39.9873188666201 -105.234833795444274,39.987288617724083 -105.234504202533699,39.987254944098005 -105.234255102604081,39.987245859902664 -105.233320698761332,39.987267283911429 -105.233103779625097,39.987306065303599 -105.232981806244098,39.98734847057932 -105.232869245374076,39.987404130077962 -105.232653229584628,39.987556701318624 -105.232494942180182,39.987694692924997 -105.232313745760393,39.987896511111444 -105.232211931398339,39.988050500246892 -105.232112255442772,39.988259810176402 -105.232059862205674,39.988422121791892 -105.232027163796161,39.988587471573418 -105.232008677227583,39.988880800094329</coordinates></LineString>"
13095;1;"<LineString><coordinates>-105.140579821347501,40.188492912382827 -105.140579482860005,40.188395617610482 -105.140577361540011,40.187785339837312 -105.140574124533231,40.187043110980774 -105.140572494014179,40.186335888015527 -105.140550472388483,40.185592570545879 -105.140555840134155,40.184576883172959 -105.140547452606015,40.183116439478987 -105.140548390642635,40.182431185093435 -105.140534756786366,40.181963437946187</coordinates></LineString>"
5137;1;"<LineString><coordinates>-104.850377331384465,39.725829235974935 -104.850389238146107,39.726958835931647</coordinates></LineString>"
12074;1;"<LineString><coordinates>-105.282091679630227,40.0390888859367 -105.282064289560807,40.039089043728282 -105.280353094956041,40.039095571410179 -105.278115336521253,40.039089697662206 -105.277438417644831,40.039096354302863 -105.276625621730489,40.03909901124949 -105.276471614609036,40.039121478874698 -105.276330886179949,40.039168250350123 -105.276189861549582,40.039250716332894 -105.276104636828862,40.03932922816665 -105.276026078930599,40.039439398915803 -105.275804720034969,40.039767737921686 -105.275722001286027,40.039855094046374 -105.275655972617997,40.039906300266445 -105.275545332175838,40.039969526072298 -105.275299049600633,40.040062967795585 -105.27517144305672,40.04008253099569 -105.274783613679048,40.040086524136022 -105.273780278876913,40.040092532908368 -105.273045316307034,40.040093549115838 -105.272738894682689,40.040102444056494 -105.272652100382018,40.040103279874344</coordinates></LineString>"
4826;1;"<LineString><coordinates>-105.039331041721184,39.732992798476175 -105.039501333694432,39.732966087235383 -105.039484249297146,39.731264748144056</coordinates></LineString>"
14562;1;"<LineString><coordinates>-104.917586757494419,39.761984701762039 -104.917589421741127,39.762579427065802 -104.917599786042601,39.763827558821554 -104.917607691802274,39.764984636970226 -104.91761071585735,39.765631727268847 -104.917610723904446,39.765635687063529</coordinates></LineString>"
12021;1;"<LineString><coordinates>-105.278364292619571,40.036403490703123 -105.277549662281402,40.036391641673745 -105.277038166078981,40.036392115122965 -105.275317236963332,40.036398504585712 -105.274692272259529,40.036400789170862 -105.272693552753552,40.036411179050283</coordinates></LineString>"
12460;1;"<LineString><coordinates>-105.149835615765568,40.143245159554027 -105.147629557940149,40.143232963411641 -105.146387093507968,40.143299511902903 -105.144782844909898,40.143291502925315 -105.144208253725978,40.143308148665959 -105.144080547629159,40.14330816278413 -105.143953138411248,40.143314837851719 -105.143826615230296,40.143328144124595 -105.143701562722242,40.1433480185283 -105.143578558627212,40.143374370054119 -105.143458173804362,40.143407077057404 -105.143340964014101,40.143445988133273 -105.143227471087755,40.143490923020245 -105.143118220576596,40.143541673493623 -105.142404785913868,40.143966246488525 -105.14232240565218,40.144013436614507 -105.142235293160965,40.14405532456945 -105.142144027194973,40.144091632033359 -105.142049213307587,40.144122118590019 -105.141951481503128,40.144146581720271 -105.14185147918694,40.144164858582045 -105.141749869977147,40.14417682870819 -105.1416473278463,40.144182412188293 -105.141544534759632,40.144181572362896 -105.140303340609591,40.144172568196566</coordinates></LineString>"
